A_NAS_ID,User_ID,IP_Address,Action,Dated,Browser_Used,NASReport_ID
66,5,59.100.129.30,Commented `1 x Amex Transaction of $344 appearing on Opera 10/12/21` in Report 09. Ogone Deposit Posting Report.,2021-12-12 07:26:50.000,Chrome,4
67,5,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-12 07:27:13.000,Chrome,4
68,5,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-12 07:27:14.000,Chrome,4
69,5,59.100.129.30,Commented `$2000 in balance` in Report 12. DM Float Log.,2021-12-12 07:29:33.000,Chrome,4
70,5,59.100.129.30,"Commented `Total Revenue: $56337
Occupancy: 78.50%
ADR: $249.01` in Report 13. DMR.",2021-12-12 07:30:21.000,Chrome,4
71,5,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-12 07:30:55.000,Chrome,4
72,5,59.100.129.30,Approved report 15. Checklists.,2021-12-12 07:31:52.000,Chrome,4
73,5,59.100.129.30,Commented `No Transaction` in Report 16. Loyalty Points Audit.,2021-12-12 07:34:18.000,Chrome,4
74,5,59.100.129.30,Submitted the summary report.,2021-12-12 07:34:24.000,Chrome,4
75,10,59.100.129.30,Created the summary report.,2021-12-13 05:20:45.000,Chrome,5
76,10,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-13 05:20:57.000,Chrome,5
77,10,59.100.129.30,Edited Adjustment and Correction details.,2021-12-13 05:30:47.000,Chrome,5
78,10,59.100.129.30,Commented `Please remind all GSA to create adj. report and also get it signed by DM and by GSA` in Report 03. Adjustment & Corrections.,2021-12-13 05:31:32.000,Chrome,5
79,10,59.100.129.30,Approved report 04. No Show Rooms.,2021-12-13 05:31:48.000,Chrome,5
80,10,59.100.129.30,Commented `No Show have been flagged with Res` in Report 04. No Show Rooms.,2021-12-13 05:32:08.000,Chrome,5
81,10,59.100.129.30,Approved report 05. Out of Order/ Service Room.,2021-12-13 05:32:12.000,Chrome,5
82,10,59.100.129.30,Approved report 06. Complimentary Room Report.,2021-12-13 05:32:14.000,Chrome,5
83,10,59.100.129.30,Approved report 07. Rate Check Report.,2021-12-13 05:32:17.000,Chrome,5
84,10,59.100.129.30,Approved report 08. PM/ PX Accounts.,2021-12-13 05:32:21.000,Chrome,5
85,10,59.100.129.30,Approved report 08.1. NA16.,2021-12-13 05:32:25.000,Chrome,5
86,10,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-13 05:32:27.000,Chrome,5
87,10,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-13 05:33:20.000,Chrome,5
88,10,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-13 05:33:22.000,Chrome,5
89,10,59.100.129.30,Approved report 12. DM Float Log.,2021-12-13 05:33:43.000,Chrome,5
90,10,59.100.129.30,Approved report 13. DMR.,2021-12-13 05:34:05.000,Chrome,5
91,10,59.100.129.30,Approved report 02. Front Office Paid Out Report.,2021-12-13 05:37:07.000,Chrome,5
92,10,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-13 05:37:11.000,Chrome,5
93,10,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-13 05:37:15.000,Chrome,5
94,10,59.100.129.30,Approved report 15. Checklists.,2021-12-13 05:37:16.000,Chrome,5
95,10,59.100.129.30,Approved report 16. Loyalty Points Audit.,2021-12-13 05:37:16.000,Chrome,5
96,10,59.100.129.30,Submitted the summary report.,2021-12-13 05:37:18.000,Chrome,5
97,14,112.200.198.1,Created the summary report.,2021-12-13 14:59:01.000,Chrome,6
98,3,180.191.65.36,Created the summary report.,2021-12-14 04:55:19.000,Chrome,7
99,10,59.100.129.30,Created the summary report.,2021-12-14 05:09:06.000,Chrome,8
100,10,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-14 05:09:14.000,Chrome,8
101,10,59.100.129.30,Approved report 02. Front Office Paid Out Report.,2021-12-14 05:09:15.000,Chrome,8
102,10,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-14 05:09:54.000,Chrome,8
103,10,59.100.129.30,Edited Adjustment and Correction details.,2021-12-14 05:10:06.000,Chrome,8
104,10,59.100.129.30,Approved report 04. No Show Rooms.,2021-12-14 05:10:09.000,Chrome,8
105,10,59.100.129.30,Approved report 05. Out of Order/ Service Room.,2021-12-14 05:10:12.000,Chrome,8
106,10,59.100.129.30,Approved report 06. Complimentary Room Report.,2021-12-14 05:10:15.000,Chrome,8
107,10,59.100.129.30,Approved report 07. Rate Check Report.,2021-12-14 05:10:30.000,Chrome,8
108,10,59.100.129.30,Approved report 08. PM/ PX Accounts.,2021-12-14 05:10:32.000,Chrome,8
109,10,59.100.129.30,Approved report 08.1. NA16.,2021-12-14 05:10:55.000,Chrome,8
110,10,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-14 05:11:11.000,Chrome,8
111,10,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-14 05:11:29.000,Chrome,8
112,10,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-14 05:12:56.000,Chrome,8
113,10,59.100.129.30,Approved report 12. DM Float Log.,2021-12-14 05:14:01.000,Chrome,8
114,10,59.100.129.30,Approved report 13. DMR.,2021-12-14 05:14:02.000,Chrome,8
115,10,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-14 05:14:28.000,Chrome,8
116,10,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-14 05:15:11.000,Chrome,8
117,10,59.100.129.30,Approved report 15. Checklists.,2021-12-14 05:15:33.000,Chrome,8
118,10,59.100.129.30,Approved report 16. Loyalty Points Audit.,2021-12-14 05:15:52.000,Chrome,8
119,10,59.100.129.30,"Commented `Credit - 5
Debit - 3` in Report 08. PM/ PX Accounts.",2021-12-14 05:16:27.000,Chrome,8
120,10,59.100.129.30,Submitted the summary report.,2021-12-14 05:22:39.000,Chrome,8
121,10,59.100.129.30,Opened a Ticket for 14. F & B Comp. & Void Audit,2021-12-14 05:39:50.000,Chrome,5
122,10,59.100.129.30,Opened a Ticket for 14. F & B Comp. & Void Audit,2021-12-14 05:43:11.000,Chrome,5
123,5,59.100.129.30,Created the summary report.,2021-12-15 04:20:25.000,Chrome,9
124,5,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-15 04:29:44.000,Chrome,9
125,5,59.100.129.30,Commented `Nil` in Report 02. Front Office Paid Out Report.,2021-12-15 04:29:58.000,Chrome,9
126,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-15 04:30:10.000,Chrome,9
127,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-15 04:30:37.000,Chrome,9
128,5,59.100.129.30,Commented `#657289 Tiia Pulkkinen` in Report 04. No Show Rooms.,2021-12-15 04:31:11.000,Chrome,9
129,5,59.100.129.30,Commented `142 x Leave Rooms` in Report 05. Out of Order/ Service Room.,2021-12-15 04:31:27.000,Chrome,9
130,5,59.100.129.30,Commented `Nil` in Report 06. Complimentary Room Report.,2021-12-15 04:31:59.000,Chrome,9
131,5,59.100.129.30,Commented `DAF Night: Nil` in Report 07. Rate Check Report.,2021-12-15 04:32:10.000,Chrome,9
132,5,59.100.129.30,Edited PM/PX Accounts details.,2021-12-15 04:32:19.000,Chrome,9
133,5,59.100.129.30,Commented `5 x Credit & 3 x Debit` in Report 08. PM/ PX Accounts.,2021-12-15 04:32:42.000,Chrome,9
134,5,59.100.129.30,Approved report 08.1. NA16.,2021-12-15 04:32:48.000,Chrome,9
135,5,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-15 04:33:09.000,Chrome,9
136,5,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-15 04:33:10.000,Chrome,9
137,5,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-15 04:33:32.000,Chrome,9
138,5,59.100.129.30,Commented `$2000 in balance` in Report 12. DM Float Log.,2021-12-15 04:33:43.000,Chrome,9
139,5,59.100.129.30,"Commented `Total Revenue: $9016
Occupancy: 22.7%
ADR: $143.79` in Report 13. DMR.",2021-12-15 04:36:09.000,Chrome,9
140,5,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-15 04:37:13.000,Chrome,9
141,5,59.100.129.30,Approved report 15. Checklists.,2021-12-15 04:37:37.000,Chrome,9
142,5,59.100.129.30,Commented `No Transaction` in Report 16. Loyalty Points Audit.,2021-12-15 04:38:10.000,Chrome,9
143,5,59.100.129.30,Submitted the summary report.,2021-12-15 04:38:37.000,Chrome,9
144,21,59.100.129.30,Created the summary report.,2021-12-15 04:58:22.000,Chrome,10
145,21,59.100.129.30,"Commented `All clear.
All charges accounts with AOF 
Accor + Accor Plus member ` in Report 01. Credit Limit Report.",2021-12-15 05:02:15.000,Chrome,10
146,21,59.100.129.30,Commented `No FO Paidouts` in Report 02. Front Office Paid Out Report.,2021-12-15 05:02:44.000,Chrome,10
147,21,59.100.129.30,Edited Adjustment and Correction details.,2021-12-15 05:03:07.000,Chrome,10
148,21,59.100.129.30,Commented `Missing Rasa's correction forms ` in Report 03. Adjustment & Corrections.,2021-12-15 05:03:45.000,Chrome,10
149,21,59.100.129.30,Edited No Show Rooms details.,2021-12-15 05:05:04.000,Chrome,10
150,21,59.100.129.30,Commented `Ticket raised to Group Executive` in Report 04. No Show Rooms.,2021-12-15 05:05:26.000,Chrome,10
151,21,59.100.129.30,Approved report 05. Out of Order/ Service Room.,2021-12-15 05:06:39.000,Chrome,10
152,21,59.100.129.30,Commented `No Comps` in Report 06. Complimentary Room Report.,2021-12-15 05:06:50.000,Chrome,10
153,21,59.100.129.30,"Commented `1 DAF Night
All rates were correct  ` in Report 07. Rate Check Report.",2021-12-15 05:07:40.000,Chrome,10
154,21,59.100.129.30,"Commented `1 DAF Night.
All rates were correct  ` in Report 07. Rate Check Report.",2021-12-15 05:07:51.000,Chrome,10
155,21,59.100.129.30,Approved report 08. PM/ PX Accounts.,2021-12-15 05:08:03.000,Chrome,10
156,21,59.100.129.30,Approved report 08.1. NA16.,2021-12-15 05:09:09.000,Chrome,10
157,21,59.100.129.30,Commented `No Transactions` in Report 09. Ogone Deposit Posting Report.,2021-12-15 05:09:28.000,Chrome,10
158,21,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-15 05:09:38.000,Chrome,10
159,21,59.100.129.30,Commented `Balance` in Report 11. CC Surcharge Report.,2021-12-15 05:09:48.000,Chrome,10
160,21,59.100.129.30,Commented `Balance` in Report 12. DM Float Log.,2021-12-15 05:10:02.000,Chrome,10
161,21,59.100.129.30,Approved report 13. DMR.,2021-12-15 05:15:15.000,Chrome,10
162,21,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-15 05:15:43.000,Chrome,10
163,21,59.100.129.30,Commented `No missing dockets` in Report 14. F & B Comp. & Void Audit.,2021-12-15 05:15:53.000,Chrome,10
164,21,59.100.129.30,Commented `Reception morning missing ` in Report 15. Checklists.,2021-12-15 05:17:27.000,Chrome,10
165,21,59.100.129.30,"Commented `1 - Manual transaction, credited by DM  ` in Report 16. Loyalty Points Audit.",2021-12-15 05:19:10.000,Chrome,10
166,21,59.100.129.30,Commented `Pls see attached file for individual comments ` in Report 08.1. NA16.,2021-12-15 05:24:53.000,Chrome,10
167,21,59.100.129.30,Submitted the summary report.,2021-12-15 06:25:25.000,Chrome,10
168,5,59.100.129.30,Created the summary report.,2021-12-16 02:43:39.000,Chrome,11
169,5,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-16 02:52:36.000,Chrome,11
170,5,59.100.129.30,Commented `Nil` in Report 02. Front Office Paid Out Report.,2021-12-16 02:52:44.000,Chrome,11
171,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-16 02:53:08.000,Chrome,11
172,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-16 02:54:06.000,Chrome,11
173,5,59.100.129.30,Edited No Show Rooms details.,2021-12-16 02:54:28.000,Chrome,11
174,5,59.100.129.30,Commented `No Show with deposit moved to PM #9008 Andrew Chubb` in Report 04. No Show Rooms.,2021-12-16 02:54:53.000,Chrome,11
175,5,59.100.129.30,Opened a Ticket for 04. No Show Rooms,2021-12-16 02:55:38.000,Chrome,11
176,5,59.100.129.30,Commented `133 x Leave Rooms` in Report 05. Out of Order/ Service Room.,2021-12-16 02:56:10.000,Chrome,11
177,5,59.100.129.30,Commented `Nil` in Report 06. Complimentary Room Report.,2021-12-16 02:56:20.000,Chrome,11
178,5,59.100.129.30,Commented `DAF Night: Nil` in Report 07. Rate Check Report.,2021-12-16 02:56:48.000,Chrome,11
179,5,59.100.129.30,Edited PM/PX Accounts details.,2021-12-16 02:56:59.000,Chrome,11
180,5,59.100.129.30,Commented `5 x Credit & 3 x Debit` in Report 08. PM/ PX Accounts.,2021-12-16 02:57:16.000,Chrome,11
181,5,59.100.129.30,Approved report 08.1. NA16.,2021-12-16 02:57:20.000,Chrome,11
182,5,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-16 02:57:39.000,Chrome,11
183,5,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-16 02:57:45.000,Chrome,11
184,5,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-16 02:57:46.000,Chrome,11
185,5,59.100.129.30,Commented `$2000 in balance` in Report 12. DM Float Log.,2021-12-16 02:57:55.000,Chrome,11
186,5,59.100.129.30,"Commented `Total Revenue: $6001 
Occupancy: 18%
ADR: $118.88` in Report 13. DMR.",2021-12-16 02:58:56.000,Chrome,11
187,5,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-16 02:59:15.000,Chrome,11
188,5,59.100.129.30,Approved report 15. Checklists.,2021-12-16 02:59:34.000,Chrome,11
189,5,59.100.129.30,Commented `No manual transaction` in Report 16. Loyalty Points Audit.,2021-12-16 03:00:05.000,Chrome,11
190,5,59.100.129.30,Submitted the summary report.,2021-12-16 03:00:15.000,Chrome,11
191,21,59.100.129.30,Created the summary report.,2021-12-16 05:04:27.000,Chrome,12
192,21,59.100.129.30,"Commented `626 - No CC details for incidentals, raised ticket to AFOM to follow-up` in Report 01. Credit Limit Report.",2021-12-16 05:06:15.000,Chrome,12
193,21,59.100.129.30,Commented `No FO Paidout` in Report 02. Front Office Paid Out Report.,2021-12-16 05:06:30.000,Chrome,12
194,21,59.100.129.30,Edited Adjustment and Correction details.,2021-12-16 05:06:56.000,Chrome,12
195,21,59.100.129.30,Edited No Show Rooms details.,2021-12-16 05:07:11.000,Chrome,12
196,21,59.100.129.30,Edited Adjustment and Correction details.,2021-12-16 05:07:19.000,Chrome,12
197,21,59.100.129.30,Opened a Ticket for 04. No Show Rooms,2021-12-16 05:09:16.000,Chrome,12
198,21,59.100.129.30,Commented `Raised ticket to RES to follow-up` in Report 04. No Show Rooms.,2021-12-16 05:09:42.000,Chrome,12
199,21,59.100.129.30,Approved report 05. Out of Order/ Service Room.,2021-12-16 05:09:55.000,Chrome,12
200,21,59.100.129.30,Commented `No Comps` in Report 06. Complimentary Room Report.,2021-12-16 05:10:06.000,Chrome,12
201,21,59.100.129.30,Commented `All rates are correct.` in Report 07. Rate Check Report.,2021-12-16 05:10:35.000,Chrome,12
202,21,59.100.129.30,Approved report 08. PM/ PX Accounts.,2021-12-16 05:10:48.000,Chrome,12
203,21,59.100.129.30,Commented `Pls see attached report for individual comments` in Report 08.1. NA16.,2021-12-16 05:12:23.000,Chrome,12
204,21,59.100.129.30,Commented `No transactions` in Report 09. Ogone Deposit Posting Report.,2021-12-16 05:12:54.000,Chrome,12
205,21,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-16 05:13:35.000,Chrome,12
206,21,59.100.129.30,Commented `Balance` in Report 11. CC Surcharge Report.,2021-12-16 05:13:47.000,Chrome,12
207,21,59.100.129.30,Commented `Balance` in Report 12. DM Float Log.,2021-12-16 05:14:04.000,Chrome,12
208,21,59.100.129.30,Approved report 13. DMR.,2021-12-16 05:14:37.000,Chrome,12
209,21,59.100.129.30,Edited F&B Comp. & Void Audit details.,2021-12-16 05:15:41.000,Chrome,12
210,21,59.100.129.30,Commented `No missing dockets` in Report 14. F & B Comp. & Void Audit.,2021-12-16 05:15:54.000,Chrome,12
211,21,59.100.129.30,Approved report 15. Checklists.,2021-12-16 05:16:05.000,Chrome,12
212,21,59.100.129.30,Commented `No manual transactions` in Report 16. Loyalty Points Audit.,2021-12-16 05:17:24.000,Chrome,12
213,21,59.100.129.30,"Commented `8 DAF Night
All rates are correct.` in Report 07. Rate Check Report.",2021-12-16 05:18:37.000,Chrome,12
214,21,59.100.129.30,"Commented `8 DAF Night.
All rates are correct.` in Report 07. Rate Check Report.",2021-12-16 05:18:48.000,Chrome,12
215,21,59.100.129.30,Submitted the summary report.,2021-12-16 05:20:37.000,Chrome,12
216,19,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-16 17:44:43.000,Chrome,10
217,19,59.100.129.30,Approved report 02. Front Office Paid Out Report.,2021-12-16 17:44:45.000,Chrome,10
218,19,59.100.129.30,Approved report 05. Out of Order/ Service Room.,2021-12-16 17:45:12.000,Chrome,10
219,19,59.100.129.30,Approved report 06. Complimentary Room Report.,2021-12-16 17:45:13.000,Chrome,10
220,19,59.100.129.30,Approved report 07. Rate Check Report.,2021-12-16 17:45:14.000,Chrome,10
221,19,59.100.129.30,Approved report 08. PM/ PX Accounts.,2021-12-16 17:45:17.000,Chrome,10
222,19,59.100.129.30,Approved report 08.1. NA16.,2021-12-16 17:45:21.000,Chrome,10
223,19,59.100.129.30,Approved report 09. Ogone Deposit Posting Report.,2021-12-16 17:45:22.000,Chrome,10
224,19,59.100.129.30,Approved report 10. Room Reconciliation Report.,2021-12-16 17:45:23.000,Chrome,10
225,19,59.100.129.30,Approved report 11. CC Surcharge Report.,2021-12-16 17:45:26.000,Chrome,10
226,19,59.100.129.30,Approved report 12. DM Float Log.,2021-12-16 17:45:26.000,Chrome,10
227,19,59.100.129.30,Approved report 13. DMR.,2021-12-16 17:45:28.000,Chrome,10
228,19,59.100.129.30,Approved report 15. Checklists.,2021-12-16 17:45:32.000,Chrome,10
229,19,59.100.129.30,Approved report 16. Loyalty Points Audit.,2021-12-16 17:45:33.000,Chrome,10
230,19,59.100.129.30,Approved report 04. No Show Rooms.,2021-12-16 17:46:05.000,Chrome,10
231,19,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-16 18:05:20.000,Chrome,10
232,19,59.100.129.30,Approved report 14. F & B Comp. & Void Audit.,2021-12-16 18:05:23.000,Chrome,10
233,19,59.100.129.30,Approved the summary report.,2021-12-16 18:05:35.000,Chrome,10
234,5,59.100.129.30,Created the summary report.,2021-12-17 03:29:52.000,Chrome,13
235,5,59.100.129.30,Approved report 01. Credit Limit Report.,2021-12-17 03:30:12.000,Chrome,13
236,5,59.100.129.30,Commented `Nil` in Report 02. Front Office Paid Out Report.,2021-12-17 03:30:31.000,Chrome,13
237,5,59.100.129.30,Edited Adjustment and Correction details.,2021-12-17 03:30:41.000,Chrome,13
238,5,59.100.129.30,Approved report 03. Adjustment & Corrections.,2021-12-17 03:31:11.000,Chrome,13
239,5,59.100.129.30,Commented `#665574 Matthew Terrey` in Report 04. No Show Rooms.,2021-12-17 03:31:38.000,Chrome,13
240,5,59.100.129.30,Commented `102 x Leave Rooms` in Report 05. Out of Order/ Service Room.,2021-12-17 03:32:04.000,Chrome,13
241,5,59.100.129.30,Commented `Nil` in Report 06. Complimentary Room Report.,2021-12-17 03:32:30.000,Chrome,13
242,5,59.100.129.30,Commented `DAF Night: Nil` in Report 07. Rate Check Report.,2021-12-17 03:32:47.000,Chrome,13
